Агнеша;Ж;83
Агнешка;Ж;564
Агнея;Ж;0
Агнийка;Ж;1
Агнилина;Ж;0
Агнисия;Ж;0
Агнита;Ж;3
Агнишка;Ж;1
Агния;Ж;7000
Агният;Ж;0
Агнория;Ж;1
Агнышка;Ж;0
Аголина;Ж;0
Аголлинария;Ж;0
Агомогла;Ж;1
Агонета;Ж;0
Агонина;Ж;24
Агорпина;Ж;1
Агорпиния;Ж;0
Агота;Ж;6
Аготта;Ж;3
Агофия;Ж;0
Агофья;Ж;1
Аградина;Ж;2
Аграпина;Ж;3
Аграппина;Ж;1
Агратина;Ж;53
Аграфена;Ж;2000
Аграфения;Ж;2
Аграфина;Ж;14
Аграфиния;Ж;0
Аграфинья;Ж;2
Аграфия;Ж;1
Аграфья;Ж;2
Агрегина;Ж;0
Агренина;Ж;42
Агрепена;Ж;1
Агрепина;Ж;158
Агрепиния;Ж;0
Агреппина;Ж;31
Агрерина;Ж;2
Агретина;Ж;2
Агрефена;Ж;10
Агрефина;Ж;2
Агрефинья;Ж;0
Агрикерия;Ж;0
Агриколь;Ж;245
Агрилина;Ж;0
Агринина;Ж;0
Агринтина;Ж;0
Агрипена;Ж;2
Агрипигина;Ж;1
Агрипина;Ж;406
Агрипиния;Ж;2
Агрипинна;Ж;4
Агриппина;Ж;2000
Агриса;Ж;1
Агрифена;Ж;4
Агрифина;Ж;7
Агролина;Ж;0
Агропина;Ж;2
Агропиния;Ж;0
Агроппина;Ж;2
Агрофена;Ж;75
Агрофения;Ж;1
Агрофина;Ж;8
Агрофиния;Ж;2
Агрулина;Ж;1
Агруния;Ж;0
Агтета;Ж;2
Агунда;Ж;642
Агуя;Ж;2
Агустина;Ж;16
Агфия;Ж;0
Агха;Ж;7
Агэля;Ж;0
Агэта;Ж;0
Ада;Ж;25000
Адаа;Ж;39
Адавие;Ж;9
Адавият;Ж;7
Адавье;Ж;2
Адаида;Ж;4
Адаиль;Ж;0
Адай;Ж;3000
Адалаида;Ж;19
Адалиада;Ж;1
Адалина;Ж;378
Адалия;Ж;63
Адаль;Ж;16
Адальберта;Ж;1
Адальмина;Ж;11
Адальфина;Ж;1
Адаля;Ж;9
Адалят;Ж;594
Адама;Ж;2000
Адамина;Ж;89
Адана;Ж;143000
Адане;Ж;2
Адария;Ж;5
Адарья;Ж;3
Адасия;Ж;0
Адась;Ж;54
Адаська;Ж;3
Адася;Ж;5
Адафия;Ж;1
Адая;Ж;13
Адвентина;Ж;6
Адверка;Ж;0
Адвина;Ж;7
Адда;Ж;78
Адделина;Ж;2
Адеалаида;Ж;0
Адеалида;Ж;1
Адеалина;Ж;1
Адебенга;Ж;1
Адегбанга;Ж;0
Адеелия;Ж;4
Адеида;Ж;1
Адеина;Ж;3
Адей;Ж;51
Адейла;Ж;1
Адейля;Ж;1
Адека;Ж;286
Адела;Ж;416
Аделада;Ж;0
Аделае;Ж;1
Аделаида;Ж;178000
Аделаижа;Ж;2
Аделаина;Ж;4
Аделайда;Ж;25
Аделанда;Ж;1
Аделаыда;Ж;0
Аделеида;Ж;0
Аделея;Ж;1
Адели;Ж;241
Аделиада;Ж;12
Аделида;Ж;10
Аделина;Ж;36000
Аделиня;Ж;1
Аделия;Ж;4000
Аделка;Ж;30
Аделла;Ж;171
Аделлаида;Ж;11
Аделли;Ж;2
Аделлинда;Ж;3
Аделоида;Ж;8
Адель;Ж;23000
Адельвина;Ж;7
Адельгайда;Ж;0
Адельгейда;Ж;7
Адельда;Ж;3
Адельина;Ж;7
Аделька;Ж;1000
Адельмина;Ж;7
Адельфина;Ж;91
Адельфия;Ж;15
Адельша;Ж;58
Адельши;Ж;0
Аделья;Ж;359
Аделя;Ж;20000
Аделяна;Ж;22
Адемина;Ж;3
Адемия;Ж;32
Адена;Ж;215
Аденаида;Ж;1
Аденда;Ж;2
Аденола;Ж;0
Адепя;Ж;1
Адерике;Ж;0
Адеринсола;Ж;0
Адериту;Ж;4
Адерми;Ж;0
